target,margin,dwell,cell_class,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine,n_users_feasible
0.07,0.05,2,hysteresis,0.07016339869281045,0.0565359477124183,2.1411764705882352,0.2392156862745098,0.07647058823529412,1.196187972395662,0.11372549019607843,0.03137254901960784,0.05490196078431372,1.5519607843137255,1.215686274509804,3.3568627450980393,4.456862745098039,0.0565359477124183,17
0.07,0.05,3,hysteresis,0.09050925925925928,0.06747685185185186,2.1305555555555555,0.18611111111111112,0.05555555555555555,1.1902545003103662,0.03333333333333333,0.013888888888888888,0.05555555555555555,3.663888888888889,3.236111111111111,4.469444444444444,6.2,0.06747685185185186,12
0.07,0.05,5,hysteresis,0.08884773662551439,0.2147582304526749,1.798148148148148,0.06481481481481481,0.25925925925925924,1.004552038071591,0.0,0.013580246913580249,0.27345679012345675,4.17037037037037,8.358641975308641,4.930864197530864,22.21481481481481,0.2147582304526749,27
0.07,0.05,10,hysteresis,0.09357323232323232,0.5737247474747474,1.1363636363636365,0.007575757575757575,0.8712121212121212,0.6348400203148806,0.0,0.0,0.8787878787878788,5.614393939393939,24.66111111111111,5.614393939393939,55.142424242424234,0.5737247474747474,22
0.07,0.1,1,margin_only,0.03992063492063492,0.06905753968253968,2.8857142857142857,0.969047619047619,0.08333333333333333,1.6121308858739025,0.8214285714285714,0.011904761904761904,0.08333333333333333,0.5476190476190476,1.1166666666666667,1.261904761904762,5.610714285714286,0.06905753968253968,14
0.07,0.1,2,hysteresis,0.06603703703703703,0.09124074074074075,1.9955555555555555,0.12444444444444443,0.11777777777777777,1.1148355058969583,0.05333333333333334,0.02222222222222222,0.09555555555555556,1.911111111111111,2.5555555555555554,3.1688888888888886,8.137777777777778,0.09124074074074075,15
0.07,0.1,3,hysteresis,0.10469696969696969,0.20345959595959595,1.7666666666666666,0.07575757575757575,0.29090909090909095,0.9869646182495344,0.0,0.018181818181818184,0.2727272727272727,5.072727272727273,12.39,5.718181818181819,22.006060606060604,0.20345959595959595,11
0.07,0.1,5,hysteresis,0.09026455026455026,0.31235449735449733,1.5690476190476192,0.03968253968253968,0.46111111111111114,0.8765629156690609,0.0,0.01746031746031746,0.45158730158730165,3.965079365079365,16.07982456140351,4.942857142857143,34.12063492063492,0.31235449735449733,21
0.07,0.1,10,hysteresis,0.13333333333333333,0.3138888888888889,1.5,0.0,0.5,0.8379888268156424,0.0,0.0,0.5,8.0,11.0,8.0,35.5,0.3138888888888889,2
0.07,0.2,1,margin_only,0.049629629629629635,0.11885802469135803,2.503703703703704,0.6148148148148148,0.1111111111111111,1.398717152907097,0.3777777777777778,0.018518518518518517,0.09259259259259259,0.4555555555555555,4.957407407407407,1.5481481481481483,9.314814814814815,0.11885802469135803,9
0.07,0.2,2,hysteresis,0.10711111111111112,0.19177777777777777,1.5933333333333333,0.0,0.37,0.8901303538175046,0.0,0.05333333333333333,0.31666666666666665,3.08,7.105555555555556,5.876666666666667,22.363333333333333,0.19177777777777777,10
0.07,0.2,3,hysteresis,0.04083333333333333,0.3997916666666667,1.3666666666666667,0.0,0.6333333333333333,0.7635009310986964,0.0,0.0,0.6333333333333333,2.45,20.13888888888889,2.45,43.575,0.3997916666666667,4
0.07,0.2,5,hysteresis,0.15999999999999998,0.225,1.4,0.0,0.5,0.7821229050279329,0.0,0.1,0.4,4.0,3.0,9.6,27.0,0.225,2
