enrolled_user,target,cell,margin,dwell,cell_class,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0.05_k10,0.05,10,hysteresis,0.09999999999999999,0.6236111111111111,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,6.0,,6.0,60.0,0.6236111111111111
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0.05_k2,0.05,2,hysteresis,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0.05_k3,0.05,3,hysteresis,0.03333333333333333,0.2847222222222222,1.5,0.0,0.5,0.8379888268156424,0.0,0.0,0.5,2.0,8.333333333333334,2.0,34.166666666666664,0.2847222222222222
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0.05_k5,0.05,5,hysteresis,0.05277777777777778,0.576388888888889,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,3.1666666666666665,,3.1666666666666665,60.0,0.576388888888889
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0.1_k2,0.1,2,hysteresis,0.016666666666666666,0.22083333333333333,1.6666666666666667,0.0,0.3333333333333333,0.931098696461825,0.0,0.0,0.3333333333333333,1.0,9.75,1.0,26.5,0.22083333333333333
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0_k1,0.0,1,instantaneous,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0_k10,0.0,10,dwell_only,0.06666666666666667,0.7041666666666666,1.5,0.16666666666666666,0.6666666666666666,0.8379888268156425,0.0,0.0,0.8333333333333334,4.0,15.0,4.0,52.5,0.7041666666666666
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0_k2,0.0,2,dwell_only,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0_k3,0.0,3,dwell_only,0.03333333333333333,0.016666666666666666,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.016666666666666666
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.05,m0_k5,0.0,5,dwell_only,0.06388888888888888,0.06944444444444443,2.6666666666666665,0.6666666666666666,0.0,1.48975791433892,0.0,0.0,0.0,3.8333333333333335,6.0,3.8333333333333335,6.0,0.06944444444444443
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.07,m0.05_k10,0.05,10,hysteresis,0.125,0.5611111111111111,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,7.5,,7.5,60.0,0.5611111111111111
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.07,m0.05_k3,0.05,3,hysteresis,0.03333333333333333,0.022222222222222223,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,2.6666666666666665,2.0,2.6666666666666665,0.022222222222222223
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.07,m0.05_k5,0.05,5,hysteresis,0.06666666666666667,0.3125,1.5,0.0,0.5,0.8379888268156424,0.0,0.0,0.5,4.0,15.0,4.0,37.5,0.3125
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.07,m0.1_k3,0.1,3,hysteresis,0.03333333333333333,0.49583333333333335,1.1666666666666667,0.0,0.8333333333333334,0.6517690875232774,0.0,0.0,0.8333333333333334,2.0,57.0,2.0,59.5,0.49583333333333335
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.07,m0_k1,0.0,1,instantaneous,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.07,m0_k10,0.0,10,dwell_only,0.09999999999999999,0.4291666666666667,1.5,0.0,0.5,0.8379888268156424,0.0,0.0,0.5,6.0,13.333333333333334,6.0,36.666666666666664,0.4291666666666667
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.07,m0_k2,0.0,2,dwell_only,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.07,m0_k5,0.0,5,dwell_only,0.06666666666666667,0.03333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.03333333333333333
61976C24-1C50-4355-9C49-AAE44A7D09F6,0.03,m0.05_k1,0.05,1,margin_only,0.0,0.001388888888888889,2.3333333333333335,0.3333333333333333,0.0,1.303538175046555,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.001388888888888889
61976C24-1C50-4355-9C49-AAE44A7D09F6,0.03,m0.05_k2,0.05,2,hysteresis,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
61976C24-1C50-4355-9C49-AAE44A7D09F6,0.03,m0.05_k3,0.05,3,hysteresis,0.030555555555555558,0.13194444444444445,2.1666666666666665,0.3333333333333333,0.16666666666666666,1.2104283054003724,0.0,0.0,0.16666666666666666,1.8333333333333333,2.6,1.8333333333333333,12.166666666666666,0.13194444444444445
61976C24-1C50-4355-9C49-AAE44A7D09F6,0.03,m0.05_k5,0.05,5,hysteresis,0.03333333333333333,0.6166666666666667,1.8333333333333333,0.3333333333333333,0.5,1.0242085661080074,0.0,0.0,0.5,2.0,34.333333333333336,2.0,47.166666666666664,0.6166666666666667
61976C24-1C50-4355-9C49-AAE44A7D09F6,0.03,m0.1_k1,0.1,1,margin_only,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
